Body Type,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Sex_female,Sex_male,Airfryer,Grill,Microwave,Oven,Stove,Glass,Metal,Paper,Plastic
2.0,1.0,0.0,0.0,1.0,0.0,0.0,225,3.0,692,0.0,6,9,24,15,2.0,2101,1,1,0,0,0,1,1,1,1,1,1
1.0,2.0,3.0,0.0,0.0,0.0,2.0,219,2.0,7,3.0,4,23,42,14,1.0,2609,0,1,1,1,1,1,0,0,0,0,0
2.0,2.0,1.0,1.0,1.0,0.0,2.0,104,1.0,948,2.0,6,1,6,22,0.0,1565,1,1,1,1,0,0,1,0,0,1,0
0.0,0.0,3.0,0.0,2.0,4.0,2.0,126,3.0,7622,1.0,2,6,37,9,1.0,5272,0,1,0,0,0,0,1,0,0,0,0
1.0,3.0,3.0,1.0,0.0,0.0,2.0,288,0.0,51,0.0,4,15,22,6,2.0,1220,1,1,0,0,0,1,1,1,1,1,0
1.0,0.0,2.0,0.0,2.0,1.0,2.0,282,1.0,2237,2.0,6,0,8,5,2.0,1300,0,1,1,1,0,1,0,1,1,0,1
3.0,2.0,0.0,1.0,1.0,0.0,0.0,69,1.0,1804,2.0,1,6,3,7,2.0,1024,1,1,0,0,1,1,1,0,1,0,0
2.0,3.0,2.0,1.0,0.0,0.0,1.0,110,0.0,85,0.0,3,14,4,3,1.0,706,0,1,1,1,1,1,1,1,1,1,1
3.0,1.0,1.0,3.0,2.0,5.0,2.0,165,2.0,472,0.0,4,17,24,20,0.0,2582,0,1,0,0,1,0,0,1,0,1,0
2.0,0.0,1.0,3.0,2.0,5.0,1.0,62,3.0,5737,1.0,1,5,20,20,0.0,4284,0,1,1,1,0,0,0,0,1,1,0
3.0,2.0,0.0,0.0,0.0,0.0,1.0,94,1.0,88,1.0,6,17,0,3,1.0,807,1,1,1,1,1,1,1,0,1,1,1
0.0,0.0,1.0,0.0,1.0,0.0,2.0,259,2.0,558,2.0,4,4,50,23,1.0,1991,1,1,1,1,0,1,0,0,1,0,0
3.0,1.0,0.0,0.0,1.0,0.0,1.0,67,1.0,752,2.0,3,14,37,14,1.0,1817,0,1,0,0,0,0,1,0,0,0,1
3.0,2.0,1.0,1.0,0.0,0.0,0.0,130,1.0,71,0.0,2,10,15,10,2.0,1490,0,1,1,1,0,1,0,1,0,0,0
0.0,3.0,0.0,0.0,1.0,0.0,0.0,258,2.0,1028,0.0,2,13,44,4,0.0,1561,1,1,1,1,1,1,0,1,1,0,0
3.0,0.0,3.0,1.0,1.0,0.0,1.0,189,2.0,1527,1.0,4,23,34,10,0.0,2202,1,1,1,1,1,0,0,1,1,0,0
0.0,1.0,1.0,3.0,0.0,0.0,1.0,262,2.0,88,2.0,5,24,8,15,1.0,2024,1,1,1,1,1,0,0,0,0,0,0
1.0,2.0,1.0,2.0,0.0,0.0,0.0,157,2.0,73,1.0,4,1,42,22,2.0,1659,1,1,1,1,1,1,1,1,1,1,0
1.0,2.0,1.0,1.0,2.0,3.0,2.0,280,3.0,8320,0.0,5,9,0,4,1.0,3911,1,1,1,1,0,1,1,0,1,1,0
1.0,1.0,2.0,3.0,0.0,0.0,1.0,121,0.0,72,1.0,6,11,4,10,0.0,1204,0,1,1,1,1,0,1,1,1,0,0
0.0,0.0,0.0,3.0,0.0,0.0,2.0,174,3.0,9,2.0,2,1,40,15,0.0,2431,1,1,0,0,1,0,1,1,0,1,1
3.0,1.0,1.0,0.0,0.0,0.0,1.0,173,2.0,60,1.0,2,16,14,20,1.0,1640,0,1,0,0,0,0,0,1,0,0,1
0.0,0.0,2.0,2.0,0.0,0.0,1.0,199,2.0,13,1.0,5,17,6,15,2.0,1648,0,1,1,1,1,1,1,1,1,1,0
0.0,3.0,0.0,1.0,0.0,0.0,0.0,94,1.0,32,0.0,6,15,5,17,1.0,1002,0,1,1,1,1,0,0,1,1,0,0
0.0,2.0,0.0,3.0,0.0,0.0,0.0,64,2.0,49,0.0,1,19,47,16,0.0,1771,1,1,1,1,1,1,1,1,0,0,1
2.0,3.0,2.0,0.0,1.0,0.0,0.0,100,3.0,1351,3.0,1,20,24,5,0.0,2028,1,1,1,1,1,0,1,1,0,1,1
1.0,1.0,3.0,3.0,1.0,0.0,2.0,240,3.0,1726,1.0,2,15,19,5,2.0,2540,1,1,0,0,0,1,1,1,1,0,0
0.0,3.0,1.0,0.0,1.0,0.0,1.0,245,0.0,1021,1.0,7,14,48,10,2.0,1386,1,1,1,1,0,1,1,1,1,1,0
1.0,2.0,1.0,3.0,0.0,0.0,1.0,270,1.0,62,0.0,5,22,21,11,1.0,1679,1,1,1,1,1,1,1,0,0,0,1
2.0,3.0,1.0,1.0,2.0,1.0,2.0,294,3.0,9488,0.0,5,16,20,18,0.0,3141,0,1,0,0,0,0,0,1,0,0,0
1.0,1.0,3.0,1.0,1.0,0.0,0.0,87,3.0,1037,2.0,4,0,11,24,2.0,2627,0,1,1,1,1,1,1,0,0,1,1
0.0,2.0,0.0,1.0,2.0,1.0,0.0,209,0.0,9555,2.0,2,13,43,3,0.0,1188,0,1,1,1,1,1,0,1,1,1,0
0.0,2.0,2.0,0.0,2.0,5.0,0.0,124,0.0,9031,3.0,5,1,11,5,0.0,3174,0,1,1,1,0,0,1,1,0,0,1
2.0,1.0,3.0,2.0,1.0,0.0,1.0,276,2.0,1461,2.0,7,19,5,12,1.0,2327,1,1,1,1,1,1,1,0,1,0,0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,90,3.0,39,1.0,3,22,7,9,0.0,1822,1,1,0,0,1,1,1,0,1,1,1
3.0,0.0,0.0,2.0,2.0,5.0,1.0,136,0.0,5033,1.0,6,0,43,24,2.0,2665,1,1,0,0,0,1,1,0,1,1,1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,246,2.0,1065,3.0,4,22,43,7,0.0,2129,0,1,1,1,1,1,1,0,1,0,1
1.0,2.0,0.0,1.0,1.0,0.0,2.0,94,1.0,927,1.0,5,18,10,21,0.0,1425,0,1,0,0,0,1,0,1,0,1,0
2.0,1.0,3.0,0.0,2.0,2.0,0.0,253,2.0,2277,2.0,1,0,11,20,1.0,1690,0,1,0,0,0,0,1,1,1,1,0
3.0,3.0,3.0,2.0,0.0,0.0,0.0,200,1.0,97,1.0,7,13,18,0,1.0,1717,1,1,0,0,1,0,1,0,1,0,0
1.0,0.0,0.0,3.0,2.0,3.0,1.0,281,2.0,7272,2.0,2,4,38,5,2.0,4060,0,1,1,1,1,0,0,1,0,1,0
3.0,1.0,0.0,0.0,2.0,4.0,1.0,82,1.0,5260,3.0,3,14,18,17,2.0,3262,1,1,1,1,0,1,1,1,0,0,1
2.0,2.0,3.0,3.0,1.0,0.0,2.0,73,1.0,1750,3.0,1,9,30,12,0.0,1674,1,1,1,1,1,1,1,1,0,1,0
3.0,1.0,1.0,2.0,2.0,2.0,2.0,246,2.0,2998,0.0,4,0,36,3,1.0,3135,0,1,0,0,1,1,1,0,1,0,0
0.0,2.0,0.0,2.0,2.0,3.0,1.0,98,1.0,9147,3.0,5,1,49,20,0.0,4465,0,1,1,1,1,0,1,1,0,0,1
2.0,2.0,2.0,0.0,1.0,0.0,0.0,256,1.0,1947,3.0,3,23,33,8,1.0,1984,0,1,0,0,0,0,1,0,0,0,0
2.0,1.0,0.0,0.0,2.0,3.0,2.0,287,3.0,4885,2.0,1,21,21,3,0.0,3246,1,1,1,1,1,0,1,0,1,0,1
3.0,3.0,1.0,0.0,0.0,0.0,0.0,63,2.0,20,2.0,4,1,6,14,2.0,1351,1,1,1,1,1,1,1,1,1,1,1
3.0,1.0,0.0,3.0,0.0,0.0,2.0,158,0.0,23,3.0,1,24,33,2,2.0,1929,0,1,0,0,0,0,1,1,0,0,0
3.0,3.0,2.0,0.0,0.0,0.0,2.0,241,2.0,34,2.0,5,24,15,10,0.0,2719,0,1,1,1,1,1,0,0,0,0,0
3.0,1.0,2.0,3.0,0.0,0.0,0.0,176,2.0,59,2.0,1,11,41,19,0.0,2336,1,1,0,0,0,1,1,0,0,1,0
1.0,1.0,0.0,1.0,1.0,0.0,2.0,189,0.0,682,0.0,6,0,35,3,1.0,1270,1,1,1,1,1,0,1,1,0,0,0
3.0,1.0,0.0,2.0,0.0,0.0,2.0,214,0.0,10,2.0,6,20,12,24,0.0,1803,1,1,0,0,1,0,1,1,0,0,0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,264,3.0,10,1.0,1,7,22,17,1.0,1816,1,1,1,1,1,1,0,1,0,1,0
1.0,3.0,2.0,3.0,2.0,4.0,1.0,213,0.0,7964,0.0,1,16,43,9,2.0,4638,0,1,0,0,0,1,1,0,0,1,1
0.0,3.0,2.0,3.0,2.0,2.0,2.0,281,1.0,3606,0.0,3,16,8,22,1.0,1909,1,1,0,0,0,0,1,0,1,0,1
1.0,0.0,0.0,2.0,1.0,0.0,1.0,280,2.0,536,2.0,2,2,30,1,0.0,2021,0,1,0,0,0,1,0,0,0,0,1
1.0,3.0,3.0,2.0,1.0,0.0,0.0,125,1.0,1564,2.0,5,4,15,23,2.0,1896,0,1,0,0,1,1,0,0,1,0,0
3.0,0.0,1.0,0.0,0.0,0.0,0.0,188,2.0,78,0.0,4,11,21,3,2.0,1770,0,1,1,1,0,1,0,0,0,1,0
1.0,3.0,1.0,1.0,0.0,0.0,2.0,251,0.0,98,0.0,1,12,47,3,2.0,1323,1,1,0,0,1,0,1,0,1,1,1
1.0,2.0,1.0,1.0,1.0,0.0,0.0,285,3.0,1820,0.0,1,21,24,9,0.0,2269,1,1,1,1,0,0,0,0,0,0,1
3.0,0.0,3.0,1.0,1.0,0.0,0.0,234,0.0,243,3.0,4,20,36,5,0.0,1918,0,1,1,1,0,1,1,1,1,0,1
2.0,0.0,1.0,2.0,1.0,0.0,1.0,91,3.0,1586,0.0,7,8,43,2,0.0,2477,1,1,0,0,1,1,1,0,1,1,1
1.0,3.0,1.0,2.0,0.0,0.0,0.0,118,2.0,11,2.0,3,6,10,16,2.0,1444,1,1,0,0,0,1,1,0,0,1,0
3.0,1.0,2.0,2.0,0.0,0.0,0.0,75,0.0,72,0.0,5,15,42,16,1.0,1254,1,1,1,1,0,0,1,1,0,1,1
2.0,1.0,3.0,0.0,1.0,0.0,0.0,134,0.0,1157,0.0,5,19,35,10,2.0,1411,0,1,1,1,0,1,0,1,0,0,0
0.0,2.0,1.0,1.0,1.0,0.0,2.0,282,0.0,1380,3.0,4,7,11,8,2.0,1605,0,1,1,1,0,0,0,1,0,0,1
3.0,1.0,0.0,0.0,2.0,3.0,2.0,110,0.0,5765,1.0,5,7,2,18,2.0,3054,0,1,0,0,0,1,1,0,0,1,0
2.0,1.0,0.0,2.0,0.0,0.0,0.0,202,3.0,92,3.0,6,9,16,14,0.0,2902,1,1,1,1,0,0,0,0,0,0,0
2.0,2.0,0.0,0.0,2.0,3.0,0.0,56,2.0,7797,2.0,7,22,8,15,0.0,4301,0,1,0,0,0,1,1,1,0,0,1
1.0,0.0,2.0,0.0,0.0,0.0,2.0,223,3.0,50,0.0,3,12,35,22,0.0,2308,1,1,1,1,1,1,0,0,0,0,1
1.0,1.0,3.0,1.0,2.0,4.0,2.0,202,2.0,7629,1.0,1,17,37,2,2.0,4132,1,1,1,1,0,0,0,1,1,0,1
2.0,1.0,1.0,1.0,2.0,4.0,1.0,114,2.0,2367,1.0,3,1,41,23,2.0,2993,0,1,0,0,0,1,1,1,1,1,0
2.0,3.0,1.0,1.0,2.0,4.0,2.0,141,2.0,3960,1.0,1,7,21,1,0.0,3098,1,1,0,0,0,0,0,0,0,1,1
2.0,0.0,2.0,3.0,0.0,0.0,1.0,236,1.0,42,3.0,2,19,15,10,0.0,1364,1,1,0,0,0,0,0,0,1,0,1
1.0,3.0,1.0,3.0,2.0,3.0,1.0,95,1.0,6455,2.0,1,15,31,14,0.0,2941,1,1,1,1,1,0,1,1,0,1,1
2.0,1.0,3.0,0.0,0.0,0.0,0.0,249,2.0,41,2.0,4,6,2,4,1.0,1349,1,1,0,0,1,0,0,0,0,1,0
2.0,2.0,1.0,2.0,0.0,0.0,2.0,213,0.0,71,1.0,1,24,17,16,0.0,1038,1,1,0,0,1,0,0,1,0,0,1
3.0,1.0,2.0,1.0,0.0,0.0,0.0,81,0.0,39,1.0,7,16,31,15,2.0,1815,0,1,0,0,0,0,0,1,0,0,1
2.0,1.0,3.0,3.0,0.0,0.0,0.0,91,3.0,50,3.0,1,13,29,24,2.0,2566,1,1,1,1,1,1,1,1,1,0,0
2.0,0.0,2.0,1.0,2.0,1.0,1.0,291,3.0,8707,1.0,3,2,23,23,1.0,2439,1,1,0,0,1,1,1,1,1,0,1
3.0,2.0,2.0,0.0,2.0,3.0,1.0,70,3.0,167,0.0,2,9,7,20,0.0,2056,1,1,0,0,0,1,1,0,1,0,1
2.0,2.0,3.0,2.0,1.0,0.0,2.0,89,3.0,631,1.0,7,2,0,18,1.0,2299,1,1,1,1,1,0,0,1,1,1,1
2.0,0.0,2.0,0.0,1.0,0.0,0.0,121,1.0,194,2.0,6,15,16,18,1.0,1492,0,1,1,1,0,0,1,0,1,0,1
0.0,3.0,1.0,3.0,0.0,0.0,2.0,198,1.0,46,1.0,1,12,45,17,2.0,1692,1,1,0,0,1,1,0,1,0,1,1
3.0,1.0,3.0,1.0,0.0,0.0,0.0,234,2.0,37,3.0,3,15,29,3,0.0,2581,0,1,1,1,1,0,0,0,0,1,0
2.0,1.0,0.0,1.0,0.0,0.0,1.0,84,1.0,31,2.0,2,0,1,1,1.0,950,0,1,1,1,0,0,0,1,1,0,0
1.0,0.0,2.0,3.0,2.0,3.0,2.0,182,0.0,2880,0.0,5,10,9,1,1.0,1923,0,1,1,1,1,1,0,1,0,1,1
2.0,2.0,0.0,1.0,0.0,0.0,2.0,275,0.0,6,3.0,2,19,49,19,0.0,1751,1,1,0,0,0,0,1,0,0,1,0
0.0,2.0,3.0,3.0,0.0,0.0,1.0,228,3.0,40,0.0,6,1,35,7,1.0,2562,1,1,0,0,1,0,1,1,0,0,0
2.0,0.0,3.0,1.0,0.0,0.0,0.0,140,2.0,1,2.0,6,9,24,24,2.0,2456,0,1,1,1,1,1,0,0,0,1,1
2.0,1.0,3.0,0.0,1.0,0.0,1.0,232,0.0,1341,3.0,1,22,8,1,1.0,657,1,1,0,0,0,1,1,1,1,0,1
1.0,2.0,2.0,0.0,1.0,0.0,2.0,115,3.0,393,0.0,3,21,13,9,2.0,1758,1,1,0,0,1,0,1,0,1,1,0
3.0,0.0,1.0,2.0,1.0,0.0,0.0,157,2.0,191,1.0,4,2,44,12,1.0,2184,1,1,0,0,1,0,0,1,0,0,1
3.0,2.0,2.0,3.0,1.0,0.0,1.0,156,3.0,131,3.0,1,14,20,23,2.0,3009,1,1,1,1,1,1,1,1,0,1,0
0.0,3.0,1.0,1.0,2.0,5.0,2.0,252,3.0,1419,2.0,5,8,43,20,0.0,3748,0,1,1,1,0,1,0,1,0,0,1
1.0,0.0,1.0,0.0,2.0,1.0,0.0,162,1.0,9159,0.0,7,2,26,16,2.0,1122,1,1,0,0,1,0,0,0,0,0,0
3.0,1.0,1.0,1.0,2.0,2.0,0.0,145,0.0,8016,0.0,3,21,14,16,2.0,2810,0,1,0,0,1,1,0,0,1,0,1
2.0,3.0,1.0,0.0,0.0,0.0,0.0,214,0.0,87,1.0,3,24,32,23,2.0,1346,1,1,0,0,1,0,0,0,0,0,1
0.0,0.0,2.0,2.0,0.0,0.0,0.0,126,1.0,3,0.0,5,15,3,12,0.0,671,1,1,0,0,0,1,1,0,1,1,1
0.0,3.0,2.0,1.0,0.0,0.0,2.0,91,2.0,13,3.0,1,19,44,16,0.0,1695,1,1,0,0,1,0,0,1,0,1,0
1.0,3.0,3.0,0.0,0.0,0.0,0.0,205,0.0,74,2.0,3,6,2,19,2.0,810,1,1,0,0,1,1,0,0,1,0,1
0.0,2.0,2.0,1.0,2.0,2.0,0.0,285,2.0,7743,3.0,3,1,33,4,0.0,2768,1,1,1,1,0,1,1,0,0,1,0
0.0,0.0,3.0,2.0,1.0,0.0,0.0,178,0.0,993,2.0,7,11,2,13,1.0,1033,1,1,0,0,1,0,0,1,0,1,1
3.0,3.0,2.0,3.0,1.0,0.0,1.0,236,1.0,1997,2.0,4,6,17,6,2.0,2046,1,1,1,1,0,1,0,1,0,1,1
3.0,3.0,3.0,3.0,2.0,1.0,0.0,286,1.0,2721,0.0,6,23,30,22,2.0,2171,1,1,1,1,1,1,1,1,1,0,0
1.0,1.0,1.0,3.0,0.0,0.0,2.0,108,1.0,5,1.0,7,21,0,4,0.0,1312,1,1,0,0,1,1,1,0,0,1,1
3.0,0.0,2.0,1.0,1.0,0.0,1.0,76,1.0,941,2.0,1,24,3,18,2.0,1209,0,1,0,0,0,1,1,0,1,0,1
0.0,0.0,3.0,3.0,2.0,5.0,1.0,270,2.0,8815,0.0,2,7,37,9,1.0,4017,0,1,0,0,1,0,0,0,1,0,0
1.0,2.0,3.0,1.0,2.0,1.0,2.0,146,1.0,3276,3.0,1,13,10,10,2.0,877,1,1,0,0,1,0,1,1,1,1,1
3.0,0.0,2.0,0.0,2.0,2.0,1.0,221,0.0,3309,1.0,5,8,16,20,0.0,1856,0,1,0,0,1,0,0,0,0,1,0
3.0,2.0,3.0,1.0,2.0,2.0,2.0,230,0.0,2623,1.0,2,20,31,12,2.0,2197,0,1,0,0,1,0,0,1,1,0,0
3.0,3.0,2.0,0.0,2.0,5.0,2.0,295,3.0,7915,2.0,1,15,10,18,1.0,4281,1,1,0,0,0,1,1,0,0,1,1
0.0,0.0,0.0,0.0,2.0,3.0,1.0,177,2.0,8897,0.0,3,17,3,24,0.0,3480,0,1,1,1,0,1,0,1,0,0,0
0.0,1.0,2.0,2.0,0.0,0.0,2.0,189,0.0,19,1.0,1,22,36,7,1.0,953,1,1,0,0,1,1,1,1,1,1,0
0.0,3.0,1.0,2.0,2.0,1.0,2.0,174,2.0,3662,0.0,2,9,44,21,0.0,2046,0,1,1,1,1,0,0,0,1,0,1
3.0,0.0,2.0,3.0,2.0,4.0,0.0,193,0.0,611,2.0,6,12,37,5,1.0,2521,0,1,1,1,1,1,1,1,1,0,1
2.0,3.0,2.0,1.0,1.0,0.0,0.0,238,3.0,1431,2.0,6,1,33,3,0.0,3551,0,1,1,1,0,1,0,0,0,1,0
1.0,2.0,2.0,1.0,1.0,0.0,1.0,101,0.0,1978,1.0,3,14,36,11,0.0,1459,0,1,1,1,0,0,0,0,0,1,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,99,3.0,92,3.0,2,8,29,18,2.0,2492,0,1,1,1,1,0,1,1,0,0,0
3.0,3.0,1.0,3.0,0.0,0.0,2.0,50,2.0,82,2.0,1,10,23,16,2.0,2411,0,1,1,1,1,1,1,1,1,0,0
3.0,2.0,1.0,3.0,1.0,0.0,0.0,71,3.0,1851,2.0,7,15,0,20,0.0,2761,1,1,0,0,0,0,1,1,0,1,1
0.0,1.0,2.0,1.0,1.0,0.0,1.0,232,1.0,1224,3.0,3,7,26,9,1.0,1500,1,1,1,1,1,1,1,0,1,0,1
2.0,2.0,3.0,1.0,2.0,1.0,1.0,247,0.0,8219,3.0,5,18,2,5,1.0,1708,0,1,0,0,0,1,1,1,0,0,0
3.0,3.0,0.0,3.0,1.0,0.0,1.0,222,0.0,1390,3.0,4,19,2,7,2.0,1717,1,1,1,1,1,0,0,0,1,0,0
2.0,0.0,0.0,1.0,1.0,0.0,1.0,61,2.0,434,1.0,1,23,41,14,2.0,2135,0,1,0,0,1,1,1,0,0,1,1
0.0,0.0,0.0,1.0,2.0,2.0,1.0,137,0.0,7460,0.0,6,5,11,20,1.0,2042,0,1,1,1,0,0,0,0,0,1,1
1.0,0.0,3.0,1.0,0.0,0.0,0.0,157,1.0,15,0.0,1,20,50,18,1.0,1221,1,1,1,1,0,0,0,0,1,1,0
0.0,1.0,0.0,2.0,2.0,5.0,0.0,174,3.0,4686,3.0,2,0,47,2,2.0,3473,0,1,0,0,1,0,0,1,0,1,1
1.0,1.0,1.0,0.0,0.0,0.0,2.0,214,0.0,88,2.0,5,12,39,21,1.0,1378,1,1,0,0,1,1,0,1,1,0,1
1.0,2.0,0.0,0.0,0.0,0.0,1.0,214,3.0,40,3.0,2,21,43,2,0.0,2135,1,1,1,1,1,0,0,0,1,1,1
1.0,2.0,3.0,1.0,0.0,0.0,0.0,66,0.0,56,0.0,6,11,49,20,2.0,1464,0,1,0,0,0,1,0,1,0,1,0
2.0,0.0,0.0,3.0,0.0,0.0,1.0,123,3.0,14,3.0,6,22,2,22,0.0,2816,1,1,0,0,1,1,1,0,1,0,1
1.0,0.0,0.0,1.0,1.0,0.0,1.0,105,3.0,108,1.0,1,17,19,11,2.0,2210,0,1,0,0,0,0,1,0,0,1,1
3.0,3.0,0.0,2.0,2.0,1.0,2.0,125,0.0,5168,0.0,3,1,40,17,2.0,1552,1,1,0,0,0,1,1,0,0,1,1
1.0,0.0,3.0,3.0,2.0,4.0,0.0,280,2.0,672,0.0,3,24,34,18,2.0,2406,0,1,0,0,0,0,1,0,1,1,1
3.0,0.0,0.0,2.0,0.0,0.0,1.0,238,3.0,94,3.0,3,17,21,22,1.0,3004,1,1,1,1,1,1,1,0,1,0,0
3.0,1.0,1.0,1.0,2.0,4.0,1.0,270,1.0,3114,2.0,3,14,5,10,1.0,2540,1,1,1,1,1,1,1,0,0,1,0
1.0,1.0,2.0,2.0,2.0,3.0,0.0,80,1.0,7134,3.0,2,5,8,5,0.0,2424,1,1,0,0,1,1,0,0,1,1,1
2.0,0.0,3.0,3.0,2.0,5.0,1.0,276,1.0,8609,3.0,6,6,14,20,0.0,4000,1,1,0,0,0,1,0,0,0,1,1
1.0,3.0,0.0,2.0,1.0,0.0,2.0,210,0.0,852,3.0,1,16,32,10,2.0,1288,1,1,0,0,1,1,1,0,1,1,0
3.0,1.0,0.0,2.0,1.0,0.0,0.0,270,1.0,1673,1.0,6,16,50,14,0.0,2317,0,1,1,1,0,1,0,1,1,1,0
1.0,1.0,3.0,3.0,1.0,0.0,2.0,152,3.0,1564,2.0,7,9,17,15,0.0,2730,1,1,0,0,0,0,0,1,1,0,1
1.0,0.0,3.0,1.0,0.0,0.0,2.0,247,1.0,74,0.0,7,3,17,22,0.0,1371,1,1,0,0,0,0,1,1,0,0,0
1.0,3.0,1.0,2.0,2.0,4.0,1.0,145,1.0,2885,0.0,4,3,33,21,1.0,2349,1,1,1,1,0,0,1,1,0,0,1
1.0,0.0,2.0,2.0,2.0,4.0,0.0,260,1.0,8130,2.0,7,7,27,0,1.0,4536,0,1,0,0,0,1,0,0,1,0,1
2.0,1.0,2.0,1.0,1.0,0.0,2.0,283,3.0,228,3.0,3,2,40,17,2.0,2987,1,1,0,0,1,1,1,1,1,0,1
1.0,1.0,3.0,1.0,1.0,0.0,1.0,277,0.0,1162,1.0,4,1,20,7,1.0,1039,1,1,0,0,1,1,0,0,1,1,0
1.0,2.0,0.0,1.0,1.0,0.0,0.0,203,0.0,71,1.0,2,10,24,12,2.0,1036,0,1,0,0,1,1,0,1,0,1,1
3.0,3.0,2.0,2.0,2.0,5.0,0.0,213,2.0,6337,3.0,4,13,1,0,1.0,3620,1,1,1,1,1,0,0,0,0,0,0
1.0,0.0,3.0,2.0,1.0,0.0,0.0,135,1.0,1649,0.0,4,8,21,2,1.0,1009,0,1,0,0,1,0,1,0,1,1,1
0.0,3.0,1.0,2.0,2.0,5.0,2.0,96,3.0,6159,0.0,2,6,5,19,0.0,2895,1,1,1,1,1,1,1,1,1,0,1
2.0,3.0,3.0,0.0,2.0,5.0,1.0,162,0.0,9884,3.0,1,21,32,21,0.0,4294,0,1,1,1,1,1,0,0,0,0,1
1.0,0.0,3.0,1.0,2.0,2.0,1.0,233,2.0,4060,3.0,7,13,46,7,2.0,3429,0,1,0,0,1,1,0,1,1,0,0
0.0,3.0,1.0,2.0,0.0,0.0,1.0,262,1.0,68,1.0,7,11,13,9,0.0,1334,1,1,1,1,0,0,0,1,0,1,0
2.0,2.0,0.0,1.0,0.0,0.0,0.0,176,3.0,5,2.0,7,13,34,16,2.0,3697,0,1,1,1,0,0,0,1,0,0,0
1.0,2.0,2.0,2.0,1.0,0.0,2.0,176,1.0,702,0.0,4,7,31,18,1.0,1494,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,0.0,3.0,0.0,0.0,1.0,147,3.0,2,3.0,4,1,14,17,2.0,2779,0,1,0,0,1,0,1,0,1,0,1
2.0,3.0,0.0,3.0,0.0,0.0,2.0,83,1.0,42,0.0,1,7,0,1,2.0,993,1,1,0,0,1,1,0,1,1,0,1
1.0,3.0,0.0,3.0,1.0,0.0,0.0,205,0.0,274,3.0,5,20,32,0,1.0,1944,1,1,1,1,0,1,1,0,0,0,1
